source_type,stage,frame,query_id,query_type,question,evidence_path,raw_answer,parsed_label,confidence,pass_gate,repair_action,affected_constraint,changed_optimizer_behavior
vlm,stage4,1,,anchor_update_check,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage4/evidence/frame00001_anchor_update_check.png,,unclear,,unclear,unclear_no_update,audit_report,1
vlm,stage4,122,,anchor_update_check,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage4/evidence/frame00122_anchor_update_check.png,,unclear,,unclear,unclear_no_update,audit_report,1
vlm,stage4,2,,temporal_motion_check,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage4/evidence/frame00002_temporal_motion_check.png,,unclear,,unclear,unclear_no_update,sequence_optimizer,1
vlm,stage4,46,,temporal_motion_check,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage4/evidence/frame00046_temporal_motion_check.png,,unclear,,unclear,unclear_no_update,sequence_optimizer,1
vlm,stage4,242,,temporal_motion_check,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage4/evidence/frame00242_temporal_motion_check.png,,unclear,,unclear,unclear_no_update,sequence_optimizer,1
vlm,stage4,1,,temporal_motion_check,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage4/evidence/frame00001_temporal_motion_check.png,,unclear,,unclear,unclear_no_update,sequence_optimizer,1
vlm,stage4,122,,temporal_motion_check,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage4/evidence/frame00122_temporal_motion_check.png,,unclear,,unclear,unclear_no_update,sequence_optimizer,1
vlm,stage5,1,,post_render_sanity_check,"Inspect the dark rendered object over the video. Does it accurately cover the real visible object without floating away, using the wrong angle/scale, or incorrectly covering the human? Choose pass only if alignment is visually good.",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage5/evidence/frame00001_post_render_sanity_check.png,,pass,,pass,accept_candidate,render_acceptance_gate,1
vlm,stage5,122,,post_render_sanity_check,"Inspect the dark rendered object over the video. Does it accurately cover the real visible object without floating away, using the wrong angle/scale, or incorrectly covering the human? Choose pass only if alignment is visually good.",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage5/evidence/frame00122_post_render_sanity_check.png,,pass,,pass,accept_candidate,render_acceptance_gate,1
vlm,stage5,242,,post_render_sanity_check,"Inspect the dark rendered object over the video. Does it accurately cover the real visible object without floating away, using the wrong angle/scale, or incorrectly covering the human? Choose pass only if alignment is visually good.",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage5/evidence/frame00242_post_render_sanity_check.png,,pass,,pass,accept_candidate,render_acceptance_gate,1
vlm,stage6,1,,baseline_regression_check,"Compared with the solved baseline, does the current render show a regression?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage6/evidence/frame00001_baseline_regression_check.png,,unclear,,unclear,unclear_no_update,audit_report,1
vlm,stage6,122,,baseline_regression_check,"Compared with the solved baseline, does the current render show a regression?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage6/evidence/frame00122_baseline_regression_check.png,,unclear,,unclear,unclear_no_update,audit_report,1
vlm,stage6,242,,baseline_regression_check,"Compared with the solved baseline, does the current render show a regression?",/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage6/evidence/frame00242_baseline_regression_check.png,,unclear,,unclear,unclear_no_update,audit_report,1
vlm,stage7,129,,loss_diagnostic_check,Which label best describes the highlighted loss diagnostic plots?,/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage7/evidence/frame00129_loss_diagnostic_check.png,,visual_spike,,reject,mark_for_report_only,audit_report,1
vlm,stage7,127,,loss_diagnostic_check,Which label best describes the highlighted loss diagnostic plots?,/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage7/evidence/frame00127_loss_diagnostic_check.png,,unclear,,unclear,unclear_no_update,audit_report,1
vlm,stage7,130,,loss_diagnostic_check,Which label best describes the highlighted loss diagnostic plots?,/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage7/evidence/frame00130_loss_diagnostic_check.png,,visual_spike,,reject,mark_for_report_only,audit_report,1
vlm,stage7,1,,loss_diagnostic_check,Which label best describes the highlighted loss diagnostic plots?,/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage7/evidence/frame00001_loss_diagnostic_check.png,,visual_spike,,reject,mark_for_report_only,audit_report,1
vlm,stage7,122,,loss_diagnostic_check,Which label best describes the highlighted loss diagnostic plots?,/mnt/hdd/AudioHOI/samples_known_object/10_football/results/benchmark_vlm_qwen/vlm/stage7/evidence/frame00122_loss_diagnostic_check.png,,visual_spike,,reject,mark_for_report_only,audit_report,1
llm,stage-1,,stage_contract,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage0,,stage0_inputs,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage1,,observation_contract,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage2,,contact_anchor_contract,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage3,,se3_schema,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage4,,sequence_optimizer_contract,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage4,,pose_jump_audit,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage5,,render_manifest,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage5,,render_temporal_consistency,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage6,,stage_contract,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage6.5,,stage_contract,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
llm,stage7,,stage_contract,llm_csv_audit,llm_csv_audit,,,pass,,,,audit_report,0
